,date,open,high,low,close,adj
0,2011-12-01,6.514,6.798,6.396,6.52,6.52
1,2011-12-02,6.566,6.738,6.48,6.66,6.66
2,2011-12-03,6.636,6.869,6.583,6.772,6.772
3,2011-12-04,6.671,6.9345,6.6345,6.828,6.828
4,2011-12-05,6.706,7.0,6.686,6.884,6.884
5,2011-12-06,6.84,6.996,6.806,6.974,6.974
6,2011-12-07,6.926,6.978,6.76,6.838,6.838
7,2011-12-08,6.168,6.33,5.922,6.178,6.178
8,2011-12-09,6.108,6.224,6.056,6.208,6.208
9,2011-12-10,6.098,6.1739999999999995,6.029999999999999,6.145,6.145
10,2011-12-11,6.093,6.148999999999999,6.0169999999999995,6.1135,6.1135
11,2011-12-12,6.088,6.124,6.004,6.082,6.082
12,2011-12-13,6.114,6.186,5.782,5.89,5.89
13,2011-12-14,5.9,5.936,5.6,5.706,5.706
14,2011-12-15,5.734,5.834,5.624,5.724,5.724
15,2011-12-16,5.758,5.786,5.596,5.6,5.6
16,2011-12-17,5.688000000000001,5.743,5.535,5.574999999999999,5.574999999999999
17,2011-12-18,5.6530000000000005,5.721500000000001,5.5045,5.5625,5.5625
18,2011-12-19,5.618,5.7,5.474,5.55,5.55
19,2011-12-20,5.61,5.69,5.544,5.58,5.58
20,2011-12-21,5.582,5.614,5.206,5.514,5.514
21,2011-12-22,5.52,5.61,5.46,5.554,5.554
22,2011-12-23,5.6,5.6,5.504,5.58,5.58
23,2011-12-24,5.566,5.677,5.516,5.647,5.647
24,2011-12-25,5.5489999999999995,5.7155,5.522,5.6805,5.6805
25,2011-12-26,5.5405,5.73475,5.525,5.69725,5.69725
26,2011-12-27,5.532,5.754,5.528,5.714,5.714
27,2011-12-28,5.798,5.848,5.608,5.702,5.702
28,2011-12-29,5.718,5.868,5.71,5.746,5.746
29,2011-12-30,5.698,5.796,5.65,5.712,5.712
30,2011-12-31,5.743,5.848000000000001,5.59,5.664,5.664
31,2012-01-01,5.7655,5.8740000000000006,5.5600000000000005,5.64,5.64
32,2012-01-02,5.77675,5.8870000000000005,5.545,5.628,5.628
33,2012-01-03,5.788,5.9,5.53,5.616,5.616
34,2012-01-04,5.642,5.734,5.5,5.542,5.542
35,2012-01-05,5.552,5.586,5.37,5.424,5.424
36,2012-01-06,5.44,5.558,5.282,5.382,5.382
37,2012-01-07,5.42,5.5280000000000005,5.253,5.416,5.416
38,2012-01-08,5.41,5.513,5.2385,5.433,5.433
39,2012-01-09,5.4,5.498,5.224,5.45,5.45
40,2012-01-10,5.488,5.552,5.45,5.524,5.524
41,2012-01-11,5.524,5.676,5.46,5.646,5.646
42,2012-01-12,5.696,5.724,5.562,5.65,5.65
43,2012-01-13,5.68,5.7,4.528,4.558,4.558
44,2012-01-14,5.502,5.584,4.904999999999999,4.939,4.939
45,2012-01-15,5.413,5.526,5.0935,5.1295,5.1295
46,2012-01-16,5.3685,5.497,5.187749999999999,5.22475,5.22475
