method,cluster,type,cramer,percent_change,delay,size
cluster_distilbert_default,7,textblob_sentiment,0.41622,1,1,32
cluster_distilbert_default,9,bertweet_sentiment,0.36535,0,1,34
cluster_minilm_default,0,textblob_sentiment,0.35717,0,3,40
cluster_minilm_default,24,textblob_sentiment,0.3539,0,1,41
cluster_minilm_default,14,textblob_sentiment,0.35203,1.5,3,46
cluster_distilbert_default,22,textblob_sentiment,0.33629,1.5,2,91
cluster_minilm_default,14,textblob_sentiment,0.3315,2,3,46
cluster_distilbert_default,3,distilbert_sentiment,0.32778,0,1,76
cluster_use_default,4,textblob_sentiment,0.31539,0.5,3,96
cluster_use_default,4,textblob_sentiment,0.31539,1,3,96
cluster_distilbert_default,22,textblob_sentiment,0.3131,2,2,91
cluster_minilm_default,0,textblob_sentiment,0.31115,0.5,3,40
cluster_minilm_default,11,textblob_sentiment,0.30975,0,1,56
cluster_mpnet_default,1,bertweet_sentiment,0.30884,0.5,2,78
cluster_distilbert_default,7,textblob_sentiment,0.29626,2,2,32
cluster_distilbert_default,20,distilbert_sentiment,0.29511,0,2,91
cluster_distilbert_default,22,bertweet_sentiment,0.2933,0.5,2,91
cluster_minilm_default,2,distilbert_sentiment,0.29163,0,3,65
cluster_distilbert_default,9,bertweet_sentiment,0.28873,1,1,34
cluster_distilbert_default,9,bertweet_sentiment,0.28873,0.5,1,34
cluster_minilm_default,5,textblob_sentiment,0.2851,2,1,37
cluster_distilbert_default,7,textblob_sentiment,0.28384,0.5,1,32
cluster_minilm_default,9,textblob_sentiment,0.278,1,1,39
cluster_minilm_default,9,textblob_sentiment,0.278,1.5,1,39
cluster_distilbert_default,22,bertweet_sentiment,0.27368,1.5,2,91
cluster_distilbert_default,22,textblob_sentiment,0.27364,1,2,91
cluster_use_default,4,textblob_sentiment,0.27142,1.5,3,96
cluster_distilbert_default,22,bertweet_sentiment,0.2713,1,2,91
cluster_minilm_default,14,distilbert_sentiment,0.27087,0,3,46
cluster_minilm_default,14,textblob_sentiment,0.26817,1,3,46
cluster_minilm_default,9,textblob_sentiment,0.26792,0.5,1,39
cluster_distilbert_default,20,distilbert_sentiment,0.26345,0,3,91
cluster_minilm_default,31,distilbert_sentiment,0.26308,0,1,101
cluster_minilm_default,23,textblob_sentiment,0.26098,1.5,3,59
cluster_mpnet_default,1,bertweet_sentiment,0.26047,1,2,78
cluster_mpnet_default,1,bertweet_sentiment,0.26047,1.5,2,78
cluster_minilm_default,2,textblob_sentiment,0.25544,1.5,2,65
cluster_use_default,3,distilbert_sentiment,0.25187,0,3,150
cluster_distilbert_default,9,bertweet_sentiment,0.24846,0,2,34
cluster_minilm_default,0,textblob_sentiment,0.24793,1.5,3,40
cluster_minilm_default,0,textblob_sentiment,0.24793,1,3,40
cluster_minilm_default,23,textblob_sentiment,0.24786,2,3,59
cluster_minilm_default,24,textblob_sentiment,0.24677,0,2,41
cluster_distilbert_default,7,textblob_sentiment,0.24314,1.5,2,32
cluster_distilbert_default,7,textblob_sentiment,0.2428,0,2,32
cluster_minilm_default,0,textblob_sentiment,0.24234,1,2,40
cluster_minilm_default,0,textblob_sentiment,0.24234,0.5,2,40
cluster_minilm_default,2,distilbert_sentiment,0.24052,0,2,65
cluster_minilm_default,25,bertweet_sentiment,0.24032,0.5,1,70
cluster_minilm_default,22,textblob_sentiment,0.23987,2,2,83
cluster_minilm_default,5,textblob_sentiment,0.23803,1.5,3,37
cluster_minilm_default,13,textblob_sentiment,0.23789,1.5,2,49
cluster_mpnet_default,1,bertweet_sentiment,0.23693,2,2,78
cluster_distilbert_default,16,bertweet_sentiment,0.23533,1.5,3,103
cluster_minilm_default,9,textblob_sentiment,0.23442,2,1,39
cluster_distilbert_default,2,bertweet_sentiment,0.23219,0.5,1,87
cluster_distilbert_default,16,bertweet_sentiment,0.23165,2,3,103
cluster_minilm_default,25,bertweet_sentiment,0.23111,1,3,70
cluster_minilm_default,25,bertweet_sentiment,0.23111,0.5,3,70
cluster_distilbert_default,2,bertweet_sentiment,0.22994,1,1,87
cluster_distilbert_default,2,bertweet_sentiment,0.22994,2,1,87
cluster_distilbert_default,2,bertweet_sentiment,0.22994,1.5,1,87
cluster_distilbert_default,22,bertweet_sentiment,0.22907,2,2,91
cluster_minilm_default,27,distilbert_sentiment,0.22859,0,3,72
cluster_distilbert_default,22,bertweet_sentiment,0.22703,0,2,91
cluster_mpnet_default,1,bertweet_sentiment,0.22673,2,3,78
cluster_use_default,5,textblob_sentiment,0.22559,0.5,3,52
cluster_use_default,10,textblob_sentiment,0.22498,1,3,89
cluster_use_default,0,textblob_sentiment,0.22488,0.5,3,243
